Fujitsu Could Help Smartphone Chips Run Cooler,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/8WdJCgsaZ4c/fujitsu-could-help-smartphone-chips-run-cooler,"angry tapir writes: If parts of your phone are sometimes too hot to handle, Fujitsu may have the answer: a thin heat pipe that can spread heat around mobile devices, reducing extremes of temperature. Fujitsu Laboratories created a heat pipe in the form of a loop that's less than 1mm thick. The device can transfer about 20W, about five times more heat than current thin heat pipes or thermal materials, the company said.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Fujitsu+Could+Help+Smartphone+Chips+Run+Cooler%3A+http%3A%2F%2Fbit.ly%2F1MDZizG""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fmobile.slashdot.org%2Fstory%2F15%2F03%2F16%2F0223207%2Ffujitsu-could-help-smartphone-chips-run-cooler%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://mobile.slashdot.org/story/15/03/16/0223207/fujitsu-could-help-smartphone-chips-run-cooler?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://mobile.slashdot.org/story/15/03/16/0223207/fujitsu-could-help-smartphone-chips-run-cooler?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7104049&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/8WdJCgsaZ4c"" height=""1"" width=""1"" alt=""""/>"
Genetics Firm Plans Research Unit to Find Disease Cures (bioethicscom),http://news.feedzilla.com/en_us/stories/science/425703227?client_source=api&format=json,"(BBC) - Personal genetics firm 23andMe is planning to use its database of
health information to research possible cures for a range of diseases. Its new
research group has appointed a head and will begin recruiting scientists next
month. They … Read More

"
Global energy emissions stalled last year (ecoearth.info),http://news.feedzilla.com/en_us/stories/science/425714607?client_source=api&format=json,"Blue and Green: Figures have been released that suggest global emissions of
carbon dioxide from the energy sector stalled for the first time in 40 years
without an economic downturn in 2014, “giving hope” that emission targets to
avoid dangerous levels of climate change can be achieved. The International
Energy Agency (IEA) states that global carbon emissions stood at 32.3 billion
tonnes in 2014, unchanged from the preceding year. The organisation argues
that figures suggest that efforts to mitigate climate change...

"
Happy Pi Day! Find Pi in the Sky (Universe Today),http://news.feedzilla.com/en_us/stories/science/425892812?client_source=api&format=json,"Happy Pi Day! Pi is one of the few mathematical constants that immediately
conjures up thoughts of food. Pies in particular. My wife Linda, inspired by
this important day, prepared a lemon angel meringue pie I can't wait to taste.
(...)Read the rest of Happy Pi Day! Find Pi in the Sky (538 words) © Bob King
for Universe […]

"
Horse dung has scientists on scent of antibiotic success (reuters),http://news.feedzilla.com/en_us/stories/science/426109200?client_source=api&format=json,"London, England, UK - European biologists have discovered a bacteria-killing
compound in common mushrooms that grow in horse dung. Unusually for an
antibiotic, copsin is a protein; but laboratory trials showed it to have the
same effect on bacteria as traditional antibiotics.

"
"Human Genome's Spirals, Loops and Globules Come into 4-D View [Video] (Scientific American)",http://news.feedzilla.com/en_us/stories/science/425704874?client_source=api&format=json,"A quest to unravel the architecture of the double helix is revealing the
subtle genetic orchestration of life


-- Read more on ScientificAmerican.com

"
"Is Microsoft Trying to Become ""King of Search"" With Cortana Strategy? ",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/qc8esXVd6FM/is-microsoft-trying-to-become-king-of-search-with-cortana-strategy,"New submitter Ammalgam writes: Microsoft recently announced that they were porting Cortana over to both Apple and iOS. This move seems to be puzzling to the larger Microsoft community because on it's face, Cortana is not per se a commercial product. But there is an interesting theory emerging. Windows10update.com is speculating that the insertion of Cortana into other platforms is a ""Trojan Horse"" strategy that will ultimately have Windows, iOS and Android users sending their search requests to Bing. The theory is that enough of those requests will bring Bing to Google's level.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Is+Microsoft+Trying+to+Become+%22King+of+Search%22+With+Cortana+Strategy%3F+%3A+http%3A%2F%2Fbit.ly%2F1EjzqTA""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F03%2F16%2F1220250%2Fis-microsoft-trying-to-become-king-of-search-with-cortana-strategy%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/03/16/1220250/is-microsoft-trying-to-become-king-of-search-with-cortana-strategy?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://tech.slashdot.org/story/15/03/16/1220250/is-microsoft-trying-to-become-king-of-search-with-cortana-strategy?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7107331&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/qc8esXVd6FM"" height=""1"" width=""1"" alt=""""/>"
Lion Makes Surprise Cameo on Gabon Camera Trap (Discovery),http://news.feedzilla.com/en_us/stories/science/425863664?client_source=api&format=json,"A camera trap meant to record chimpanzees makes a chance discovery.

"
Live video apps dominate SXSW (CBS News),http://news.feedzilla.com/en_us/stories/science/426129036?client_source=api&format=json,"South by Southwest is a chance for companies to test new ideas and create
buzz, and streaming social video app Meerkat is doing just that. SXSW is the
event where Twitter and Foursquare took off. CNET's Dan Ackerman joins ""CBS
This Morning"" to discuss apps like Meerkat and Twitter's Periscope.

"
Looking for Life in All the Wrong Places? (Discover Magazine),http://news.feedzilla.com/en_us/stories/science/426012850?client_source=api&format=json,"The past couple weeks have seen a brain-sparking series of discoveries that
advance the search for life beyond Earth. Enceladus is emitting burps of
methane, which strongly indicate the presence of a warm ocean under its ice
(and which could, just possibly, hint at biological activity down there).
Ganymede seems to have its own buried ocean, one that may contain more water
than all of Earth’s oceans combined. A new study shows that organisms could
potentially evolve in the frigid methane lak

"
